"타임스탬프","0. あなたの年齢を教えてください","1. このゲームはどれ程あなたの好みに合いましたか？","2. 下記の中で、楽しく遊んだことがあるものを選んでください（複数選択可）","3. このジャンルのゲームをプレイする主な理由は何ですか？（複数選択可）","4. 1プレイを「短い物語」だとすると、クライマックスはどんな瞬間でしたか？
例：「敵に囲まれてピンチだったが、一気に倒せたとき」
「新しいユニットの組み合わせの力を実感したとき」","5. 逆に、プレイ中に最もイライラしたり、アプリを削除したいと思った瞬間は？
 例：「ミネラルを取りに行きたいのに敵に囲まれて動けなかった」
「ユニットがなぜ倒されたのか分からなかった」","6. このゲームを友達に一言で紹介するとしたら？","7. ゲームで最も楽しいと感じた要素は何ですか？（複数選択可）","8. 最後にゲームシステムやルール、アートワークなど、改善してほしい点があれば自由に書いてください。"
"2025/09/25 11:58:14 AM GMT+9","","3","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","敵をたくさん倒せたとき","動作の重さ","かわいいネコちゃんで気軽にプレイしやすい","モンスターを素早く倒す爽快感",""
"2025/09/25 11:59:26 AM GMT+9","","4","Ace Craft","敵を一掃するときのスリル;個性的なグラフィックや世界観","大量の敵を一気に倒すとき","うまくレベルアップできなかったとき","猫が可愛い","モンスターを素早く倒す爽快感",""
"2025/09/25 12:50:48 PM GMT+9","","4","Vampire Survivors","キャラクターを育成して強くなる楽しさ","うまく採掘できた時","","かわいいヴァンサバ","ユニットをマージして新しいランクを作ること","スタミナはちょっと古い。
好きなだけプレイさせた方が良い。"
"2025/09/25 1:10:24 PM GMT+9","","5","Ace Craft","敵を一掃するときのスリル;戦略で勝ったときの達成感;個性的なグラフィックや世界観","強くなって敵が柔らかく溶ける快感","特にない！","楽々楽しいシチェーション","モンスターを素早く倒す爽快感","かなり良さげでした！！！"
"2025/09/25 1:18:47 PM GMT+9","","5","Vampire Survivors","戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感",""
"2025/09/25 2:26:34 PM GMT+9","","4","Vampire Survivors;Archero（弓矢の伝説）","キャラクターを育成して強くなる楽しさ","","","Cute, mobile vampire survivors-esque","ユニットをマージして新しいランクを作ること",""
"2025/09/25 2:43:02 PM GMT+9","","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","","","かわいい","モンスターを素早く倒す爽快感",""
"2025/09/25 2:57:23 PM GMT+9","","4","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","","","","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/26 10:19:11 AM GMT+9","","5","Ace Craft;Archero（弓矢の伝説）","個性的なグラフィックや世界観","始まったときの世界観","とくにない","かわいいゲーム！ipもバズりそう。","モンスターを素早く倒す爽快感","とくにありません！"
"2025/09/26 11:21:18 AM GMT+9","","5","","敵を一掃するときのスリル","可愛い","進め方が遅すぎると","可愛いアクション","モンスターを素早く倒す爽快感",""
"2025/09/26 11:40:43 AM GMT+9","","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル",".",".",".","モンスターを素早く倒す爽快感","."
"2025/09/26 11:54:03 AM GMT+9","","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","ガチャでいいユニットが選ばれた時","","無限リピート強化トレーニング","戦略カードを集めてデッキを組む楽しさ","1. 青い主人公のキャラクターとペットの区別がつかない。 2. ステージ終了後、宝に取ることを後になって知った。 自動で抜くのもいいと思う。"
"2025/09/26 12:05:21 PM GMT+9","","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","キャラクターを育成して強くなる楽しさ","組み合わせた時","負けた時","おもろい","モンスターを素早く倒す爽快感","スライドを動きやすくすると"
"2025/09/26 12:10:30 PM GMT+9","","4","Vampire Survivors","キャラクターを育成して強くなる楽しさ","ボスを倒す瞬間","持ちこたえられなかったとき","ヴァンサバを100倍可愛くした感じ！","ユニットをマージして新しいランクを作ること",""
"2025/09/26 12:26:25 PM GMT+9","","5","Vampire Survivors","敵を一掃するときのスリル;個性的なグラフィックや世界観","ボスを倒した時","特にありません","かわいい！","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ","丁寧に教えてくださりとても楽しかったです！ありがとうございました！"
"2025/09/26 12:38:42 PM GMT+9","","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","多数の敵を同時に倒せる時","","","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/26 1:09:54 PM GMT+9","","4","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","","","","戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/26 1:50:20 PM GMT+9","","4","Ace Craft","戦略で勝ったときの達成感","クリアできて仲間がゲットできたとき！","ない","暇つぶしで楽しい","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ",""
"2025/09/26 3:52:48 PM GMT+9","","4","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","星をゲットした時","プレイ方法がわからない","可愛いバトルゲーム","マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/26 3:52:53 PM GMT+9","","3","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","ピンチで倒されたとき","かこまれたとき","逃げながら溜めるゲーム","モンスターを素早く倒す爽快感","もうちょっと説明がほしいかも。チュートリアルがほしい。がんばってね"
"2025/09/26 3:57:19 PM GMT+9","","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;個性的なグラフィックや世界観","爽快！","最初やり方がわからなかった","ストレス発散","モンスターを素早く倒す爽快感","リリース楽しみです"
"2025/09/26 4:18:53 PM GMT+9","","5","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","","","可愛い","ユニットをマージして新しいランクを作ること",""
"2025/09/26 4:28:12 PM GMT+9","","5","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","","","","マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/26 4:28:32 PM GMT+9","","4","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感",""
"2025/09/26 4:41:05 PM GMT+9","","4","Vampire Survivors","敵を一掃するときのスリル;戦略で勝ったときの達成感;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/27 10:10:02 AM GMT+9","","4","Vampire Survivors;Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;個性的なグラフィックや世界観","Cmbo","簡単すぎ","","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 10:12:10 AM GMT+9","","4","Vampire Survivors;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ","敵に囲まれてピンチだったが、一気に倒せたとき","Go through the game eventually ","Yes","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること;マップのミネラルを採掘してルーレットでアイテムを得ること","It's good enough 👍"
"2025/09/27 10:13:24 AM GMT+9","","5","","敵を一掃するときのスリル;個性的なグラフィックや世界観","","","","戦略カードを集めてデッキを組む楽しさ;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 10:17:24 AM GMT+9","","5","Survivor.io（ダダサバイバー）","個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 10:32:56 AM GMT+9","","4","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","","無し","はい、楽しいなので","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/27 10:37:39 AM GMT+9","","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;戦略で勝ったときの達成感","新しいユニットの組み合わせの力を実感したとき","","很好玩，升級方式多樣","モンスターを素早く倒す爽快感","無"
"2025/09/27 10:54:15 AM GMT+9","","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ;他プレイヤーとの競争・協力の面白さ","手軽でよかった","ダメージが多いと思う","手軽にできる暇つぶし！電車の中でやろう","モンスターを素早く倒す爽快感","ダメージが多いように思う　あと当たり判定がちょっと厳しいかも"
"2025/09/27 11:07:01 AM GMT+9","","5","Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;個性的なグラフィックや世界観","何とか逃げきれた時","事故で負けた！","たのしい","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 11:08:16 AM GMT+9","","5","Survivor.io（ダダサバイバー）;Ace Craft;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ","倒せて気持ちいい！","","無双！","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 11:23:13 AM GMT+9","","4","Vampire Survivors","敵を一掃するときのスリル","","これバンパイアやんという瞬間","見た目めっちゃかわいいバンパイア","ユニットをマージして新しいランクを作ること;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 11:23:57 AM GMT+9","","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","爽快感がありました","","","モンスターを素早く倒す爽快感",""
"2025/09/27 11:34:42 AM GMT+9","","5","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","ユニット組み合わせ","特にない","ハマる","ユニットをマージして新しいランクを作ること","ナシ"
"2025/09/27 11:36:32 AM GMT+9","","4","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","Surrounded by enemies, and I can get out
","not yet to felt
","It’s funny","ユニットをマージして新しいランクを作ること","No yet
 To felt
"
"2025/09/27 11:47:16 AM GMT+9","","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","短時間でも遊べてよかった","","","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/27 11:57:33 AM GMT+9","","5","Vampire Survivors","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","Powering up and defeating everything faster!","When I lost a level near the end","Exciting!","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 11:58:24 AM GMT+9","","3","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル","destroying enemies","lag","idle rpg","モンスターを素早く倒す爽快感",""
"2025/09/27 11:59:10 AM GMT+9","","5","Survivor.io（ダダサバイバー）;Ace Craft","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","倒した時","負けた時","楽しい","モンスターを素早く倒す爽快感",""
"2025/09/27 11:59:58 AM GMT+9","","4","Vampire Survivors;Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 12:13:00 PM GMT+9","30~39歳","5","Survivor.io（ダダサバイバー）","戦略で勝ったときの達成感","","","","",""
"2025/09/27 12:33:07 PM GMT+9","20~29歳","3","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","","結構序盤でも敵が多い","","ユニットをマージして新しいランクを作ること",""
"2025/09/27 12:34:55 PM GMT+9","20~29歳","4","Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","どんな演出になるんだろうという感じ
","特になし スムーズな動き方だった","たのしくキャラクターがかわいいよ","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/27 12:36:43 PM GMT+9","20~29歳","4","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","最後に逃げ場がなくなって倒される瞬間","欲しいアイテムや装備が出なかった時","ヴァンサバライク","マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 12:50:06 PM GMT+9","20~29歳","4","Vampire Survivors;Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","マージして敵が弱く感じるところ","一番弱い敵の攻撃範囲が分かりずらかった","ヴァンサバライク","戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること","敵の攻撃範囲がもう少しわかりやすいと嬉しい。
ユニットも多いので意図せず当たってしまうことがある"
"2025/09/27 12:52:48 PM GMT+9","20~29歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","大きい攻撃が続けてだけで良い","序盤のステージで敵に囲まれる","可愛いねこの暇つぶしになるゲーム","戦略カードを集めてデッキを組む楽しさ","特にないです、楽しみにしています"
"2025/09/27 12:56:40 PM GMT+9","30~39歳","3","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 12:56:59 PM GMT+9","30~39歳","5","このようなゲームはあまり遊ばない","個性的なグラフィックや世界観","ウェーブクリアした時","","かわいい","キャラクターの可愛さ",""
"2025/09/27 1:23:29 PM GMT+9","30~39歳","4","Archero（弓矢の伝説）","戦略で勝ったときの達成感","","","","ユニットをマージして新しいランクを作ること",""
"2025/09/27 1:35:40 PM GMT+9","40~49歳","1","Vampire Survivors","敵を一掃するときのスリル","楽しい","めちゃくちゃ","楽しい","モンスターを素早く倒す爽快感",""
"2025/09/27 1:36:13 PM GMT+9","10~19歳","5","","戦略で勝ったときの達成感","","","","マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 1:50:05 PM GMT+9","10~19歳","4","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;戦略で勝ったときの達成感","新しいユニットを組み合わせて戦闘する","なし","敵を一掃できる","モンスターを素早く倒す爽快感","なし"
"2025/09/27 2:00:49 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;戦略で勝ったときの達成感","新武器的组合很有意思","被敌人包围的时候无法行动","はい","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ","和土豆兄弟太像了，希望有自己更多的创意"
"2025/09/27 2:05:54 PM GMT+9","30~39歳","4","","個性的なグラフィックや世界観","","","","",""
"2025/09/27 2:06:17 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","","","","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 2:12:42 PM GMT+9","40~49歳","5","Vampire Survivors","","","","","",""
"2025/09/27 2:34:19 PM GMT+9","40~49歳","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","Synergy amongst characters","the control stick and my character being too slow","avoid getting hit whilst collecting power ups to level your hero","ユニットをマージして新しいランクを作ること","Add story and chapters to unlock and multiplayer "
"2025/09/27 2:41:58 PM GMT+9","20~29歳","3","Archero（弓矢の伝説）","戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 2:43:38 PM GMT+9","30~39歳","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","ボス戦","操作がうまく理解できない時","かわいい！","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ",""
"2025/09/27 2:46:45 PM GMT+9","20~29歳","4","Vampire Survivors","個性的なグラフィックや世界観","","","","ユニットをマージして新しいランクを作ること",""
